Date,Line,Amt,Channel,Promotion
12/31/2012,Road,46683,Specialty Bike Shop,Non Discount Promotion
12/31/2012,Touring,36562,Specialty Bike Shop,Seasonal Discount
11/30/2012,Mountain,26517,Warehouse,Seasonal Discount
11/30/2012,Road,431485,Value Added Reseller,New Product Launch
11/30/2012,Touring,54089,Specialty Bike Shop,Non Discount Promotion
11/30/2012,Mountain,49094,Warehouse,Non Discount Promotion
11/30/2012,Road,7658,Warehouse,Seasonal Discount
11/30/2012,Touring,38518,Warehouse,Seasonal Discount
10/31/2012,Mountain,51627,Warehouse,Non Discount Promotion
10/31/2012,Road,441927,Warehouse,New Product Launch
10/31/2012,Touring,46754,Warehouse,Non Discount Promotion
10/31/2012,Mountain,42365,Specialty Bike Shop,Non Discount Promotion
10/31/2012,Road,54549,Specialty Bike Shop,New Product Launch
10/31/2012,Touring,44723,Warehouse,Non Discount Promotion
9/30/2012,Mountain,53231,Value Added Reseller,Non Discount Promotion
9/30/2012,Road,37657,Specialty Bike Shop,Non Discount Promotion
9/30/2012,Touring,445249,Warehouse,Non Discount Promotion
9/30/2012,Mountain,9919,Warehouse,Seasonal Discount
9/30/2012,Road,32164,Value Added Reseller,Non Discount Promotion
9/30/2012,Touring,35055,Specialty Bike Shop,Seasonal Discount
8/31/2012,Mountain,38479,Value Added Reseller,Non Discount Promotion
8/31/2012,Road,241516,Value Added Reseller,Seasonal Discount
8/31/2012,Touring,47910,Specialty Bike Shop,Seasonal Discount
8/31/2012,Mountain,44261,Value Added Reseller,Non Discount Promotion
8/31/2012,Road,18840,Specialty Bike Shop,Seasonal Discount
8/31/2012,Touring,151625,Warehouse,New Product Launch
7/31/2012,Mountain,30648,Warehouse,Seasonal Discount
7/31/2012,Road,221054,Warehouse,New Product Launch
7/31/2012,Touring,258132,Specialty Bike Shop,Seasonal Discount
7/31/2012,Mountain,50349,Warehouse,Seasonal Discount
7/31/2012,Road,22662,Warehouse,New Product Launch
7/31/2012,Touring,45102,Warehouse,New Product Launch
6/30/2012,Mountain,46777,Warehouse,New Product Launch
6/30/2012,Road,241516,Value Added Reseller,Non Discount Promotion
6/30/2012,Touring,43163,Value Added Reseller,Seasonal Discount
6/30/2012,Mountain,27367,Specialty Bike Shop,New Product Launch
6/30/2012,Road,162516,Warehouse,Non Discount Promotion
6/30/2012,Touring,13751,Warehouse,New Product Launch
5/31/2012,Mountain,48986,Warehouse,Seasonal Discount
5/31/2012,Road,148690,Value Added Reseller,Non Discount Promotion
5/31/2012,Touring,34613,Value Added Reseller,Non Discount Promotion
5/31/2012,Mountain,18476,Warehouse,Seasonal Discount
5/31/2012,Road,32746,Warehouse,Non Discount Promotion
5/31/2012,Touring,22398,Value Added Reseller,Non Discount Promotion
4/30/2012,Mountain,48868,Warehouse,Non Discount Promotion
4/30/2012,Road,161516,Value Added Reseller,Non Discount Promotion
4/30/2012,Touring,34751,Value Added Reseller,Non Discount Promotion
4/30/2012,Mountain,35034,Value Added Reseller,Non Discount Promotion
4/30/2012,Road,29131,Specialty Bike Shop,Non Discount Promotion
4/30/2012,Touring,41193,Specialty Bike Shop,Non Discount Promotion
3/31/2012,Mountain,34572,Warehouse,Seasonal Discount
3/31/2012,Road,350100,Specialty Bike Shop,Seasonal Discount
3/31/2012,Touring,49418,Specialty Bike Shop,New Product Launch
3/31/2012,Mountain,261514,Specialty Bike Shop,Seasonal Discount
3/31/2012,Road,51880,Specialty Bike Shop,Non Discount Promotion
3/31/2012,Touring,19261,Value Added Reseller,Non Discount Promotion
2/28/2012,Mountain,51340,Specialty Bike Shop,Non Discount Promotion
2/28/2012,Road,339779,Value Added Reseller,New Product Launch
2/28/2012,Touring,41537,Value Added Reseller,New Product Launch
2/28/2012,Mountain,36156,Value Added Reseller,New Product Launch
2/28/2012,Road,12357,Warehouse,New Product Launch
2/28/2012,Touring,34868,Value Added Reseller,Seasonal Discount
1/31/2012,Mountain,25795,Value Added Reseller,Non Discount Promotion
1/31/2012,Road,229101,Warehouse,New Product Launch
1/31/2012,Touring,251415,Warehouse,Non Discount Promotion
1/31/2012,Mountain,29943,Warehouse,Non Discount Promotion
1/31/2012,Road,11513,Specialty Bike Shop,Seasonal Discount
1/31/2012,Touring,36116,Value Added Reseller,New Product Launch
12/31/2011,Mountain,59515,Value Added Reseller,Non Discount Promotion
12/31/2011,Road,52342,Value Added Reseller,Seasonal Discount
12/31/2011,Touring,56665,Warehouse,New Product Launch
11/30/2011,Mountain,25618,Warehouse,Seasonal Discount
11/30/2011,Road,15720,Specialty Bike Shop,New Product Launch
11/30/2011,Touring,127716,Warehouse,Non Discount Promotion
10/31/2011,Mountain,16986,Warehouse,Seasonal Discount
10/31/2011,Road,52099,Value Added Reseller,New Product Launch
10/31/2011,Touring,152625,Value Added Reseller,New Product Launch
9/30/2011,Mountain,33336,Specialty Bike Shop,Seasonal Discount
9/30/2011,Road,33290,Specialty Bike Shop,Non Discount Promotion
9/30/2011,Touring,59750,Warehouse,Non Discount Promotion
8/31/2011,Mountain,7525,Warehouse,Seasonal Discount
8/31/2011,Road,59081,Specialty Bike Shop,New Product Launch
8/31/2011,Touring,27974,Value Added Reseller,Seasonal Discount
7/31/2011,Mountain,16990,Warehouse,Non Discount Promotion
7/31/2011,Road,58248,Specialty Bike Shop,Non Discount Promotion
7/31/2011,Touring,58043,Specialty Bike Shop,Seasonal Discount
6/30/2011,Mountain,44936,Warehouse,New Product Launch
6/30/2011,Road,24702,Value Added Reseller,New Product Launch
6/30/2011,Touring,16867,Value Added Reseller,New Product Launch
5/31/2011,Mountain,170283,Warehouse,New Product Launch
5/31/2011,Road,9952,Specialty Bike Shop,Seasonal Discount
5/31/2011,Touring,225265,Specialty Bike Shop,Seasonal Discount
4/30/2011,Mountain,78283,Specialty Bike Shop,New Product Launch
4/30/2011,Road,6427,Value Added Reseller,Non Discount Promotion
4/30/2011,Touring,228385,Specialty Bike Shop,Non Discount Promotion
3/31/2011,Mountain,136046,Warehouse,Seasonal Discount
3/31/2011,Road,13660,Value Added Reseller,Seasonal Discount
3/31/2011,Touring,88946,Specialty Bike Shop,Non Discount Promotion
2/28/2011,Mountain,134212,Warehouse,New Product Launch
2/28/2011,Road,814,Specialty Bike Shop,Seasonal Discount
2/28/2011,Touring,195404,Warehouse,Non Discount Promotion
1/31/2011,Mountain,60117,Warehouse,Non Discount Promotion
1/31/2011,Road,2591,Warehouse,Seasonal Discount
1/31/2011,Touring,166493,Warehouse,New Product Launch
12/31/2010,Mountain,74049,Warehouse,Seasonal Discount
12/31/2010,Road,2726,Specialty Bike Shop,New Product Launch
12/31/2010,Touring,55982,Warehouse,Seasonal Discount
11/30/2010,Mountain,187210,Warehouse,Seasonal Discount
11/30/2010,Road,9833,Warehouse,Seasonal Discount
11/30/2010,Touring,282126,Specialty Bike Shop,Seasonal Discount
10/31/2010,Mountain,73969,Warehouse,Non Discount Promotion
10/31/2010,Road,5852,Warehouse,Seasonal Discount
10/31/2010,Touring,198263,Warehouse,Seasonal Discount
9/30/2010,Mountain,145732,Value Added Reseller,Seasonal Discount
9/30/2010,Road,15599,Specialty Bike Shop,New Product Launch
9/30/2010,Touring,107049,Warehouse,New Product Launch
8/31/2010,Mountain,193628,Specialty Bike Shop,Seasonal Discount
8/31/2010,Road,11763,Value Added Reseller,Non Discount Promotion
8/31/2010,Touring,223763,Specialty Bike Shop,Seasonal Discount
7/31/2010,Mountain,113576,Value Added Reseller,Seasonal Discount
7/31/2010,Road,23346,Specialty Bike Shop,New Product Launch
7/31/2010,Touring,231473,Value Added Reseller,Seasonal Discount
6/30/2010,Mountain,134185,Specialty Bike Shop,Seasonal Discount
6/30/2010,Road,41490,Value Added Reseller,Seasonal Discount
6/30/2010,Touring,86633,Value Added Reseller,Seasonal Discount
5/31/2010,Mountain,170221,Specialty Bike Shop,Non Discount Promotion
5/31/2010,Road,123037,Value Added Reseller,New Product Launch
4/30/2010,Mountain,70536,Warehouse,Non Discount Promotion
4/30/2010,Road,132976,Value Added Reseller,New Product Launch
3/31/2010,Mountain,179750,Value Added Reseller,New Product Launch
3/31/2010,Road,106445,Warehouse,Seasonal Discount
2/28/2010,Mountain,151051,Specialty Bike Shop,Non Discount Promotion
2/28/2010,Road,100987,Warehouse,Seasonal Discount
1/31/2010,Mountain,76018,Value Added Reseller,Seasonal Discount
1/31/2010,Road,109940,Value Added Reseller,Seasonal Discount
12/31/2009,Mountain,109834,Specialty Bike Shop,Non Discount Promotion
12/31/2009,Road,61445,Specialty Bike Shop,Non Discount Promotion
11/30/2009,Mountain,184286,Specialty Bike Shop,Seasonal Discount
11/30/2009,Road,106139,Value Added Reseller,Seasonal Discount
10/31/2009,Mountain,98633,Specialty Bike Shop,New Product Launch
10/31/2009,Road,125716,Value Added Reseller,New Product Launch
9/30/2009,Mountain,155826,Warehouse,New Product Launch
9/30/2009,Road,88091,Specialty Bike Shop,Non Discount Promotion
8/31/2009,Mountain,208229,Warehouse,Seasonal Discount
8/31/2009,Road,115037,Specialty Bike Shop,New Product Launch
7/31/2009,Mountain,136911,Specialty Bike Shop,New Product Launch
7/31/2009,Road,123467,Value Added Reseller,Seasonal Discount
6/30/2009,Mountain,230680,Warehouse,Non Discount Promotion
6/30/2009,Road,130331,Warehouse,Seasonal Discount
5/31/2009,Mountain,9291,Value Added Reseller,New Product Launch
5/31/2009,Road,32530,Warehouse,Non Discount Promotion
4/30/2009,Mountain,46252,Specialty Bike Shop,Seasonal Discount
4/30/2009,Road,39713,Specialty Bike Shop,Non Discount Promotion
3/31/2009,Mountain,27303,Specialty Bike Shop,Non Discount Promotion
3/31/2009,Road,60520,Value Added Reseller,Non Discount Promotion
2/28/2009,Mountain,83353,Warehouse,Non Discount Promotion
2/28/2009,Road,34601,Warehouse,Seasonal Discount
1/31/2009,Mountain,34690,Value Added Reseller,Non Discount Promotion
1/31/2009,Road,33076,Warehouse,Seasonal Discount
12/31/2008,Mountain,22873,Warehouse,Seasonal Discount
12/31/2008,Road,36230,Value Added Reseller,Seasonal Discount
11/30/2008,Mountain,74565,Warehouse,New Product Launch
11/30/2008,Road,42194,Specialty Bike Shop,New Product Launch
10/31/2008,Mountain,47998,Specialty Bike Shop,Non Discount Promotion
10/31/2008,Road,39042,Warehouse,New Product Launch
9/30/2008,Mountain,47266,Warehouse,Seasonal Discount
9/30/2008,Road,51787,Value Added Reseller,New Product Launch
8/31/2008,Mountain,58710,Value Added Reseller,New Product Launch
8/31/2008,Road,19205,Specialty Bike Shop,Non Discount Promotion
7/31/2008,Mountain,47352,Specialty Bike Shop,Non Discount Promotion
7/31/2008,Road,20188,Value Added Reseller,New Product Launch
6/30/2008,Mountain,13076,Specialty Bike Shop,Non Discount Promotion
6/30/2008,Road,37470,Specialty Bike Shop,Seasonal Discount
